T rhoV rhoL P
0.38 0.00681 0.79445 0.00250
0.39 0.00829 0.78669 0.00311
0.40 0.00997 0.77884 0.00381
0.41 0.01189 0.77088 0.00462
0.42 0.01405 0.76282 0.00555
0.43 0.01646 0.75464 0.00659s
0.44 0.01915 0.74634 0.00777
0.45 0.02212 0.73793 0.00909
0.46 0.02541 0.72938 0.01055
0.47 0.02903 0.72069 0.01216
0.48 0.03299 0.71187 0.01393
0.49 0.03734 0.70290 0.01586
0.50 0.04209 0.69377 0.01796
0.51 0.04727 0.68447 0.02023
0.52 0.05293 0.67500 0.02268
0.53 0.05911 0.66532 0.02532
